timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 20:00:11.604, 141.44 W, 87, 1725 MHz, 7301 MHz
2026/04/28 20:00:12.604, 139.09 W, 88, 1560 MHz, 7301 MHz
2026/04/28 20:00:13.605, 143.61 W, 90, 1597 MHz, 7301 MHz
2026/04/28 20:00:14.605, 145.27 W, 90, 1635 MHz, 7301 MHz
2026/04/28 20:00:15.605, 140.68 W, 88, 1815 MHz, 7301 MHz
2026/04/28 20:00:16.606, 141.03 W, 88, 1845 MHz, 7301 MHz
2026/04/28 20:00:17.607, 138.51 W, 87, 1642 MHz, 7301 MHz
2026/04/28 20:00:18.608, 139.67 W, 87, 1687 MHz, 7301 MHz
2026/04/28 20:00:19.609, 141.66 W, 88, 1552 MHz, 7301 MHz
2026/04/28 20:00:20.610, 144.04 W, 90, 1605 MHz, 7301 MHz
2026/04/28 20:00:21.612, 143.30 W, 91, 1650 MHz, 7301 MHz
2026/04/28 20:00:22.613, 144.91 W, 89, 1830 MHz, 7301 MHz
2026/04/28 20:00:23.614, 142.76 W, 88, 1732 MHz, 7301 MHz
2026/04/28 20:00:24.615, 137.08 W, 87, 1755 MHz, 7301 MHz
2026/04/28 20:00:25.616, 140.10 W, 87, 1777 MHz, 7301 MHz
2026/04/28 20:00:26.617, 142.79 W, 87, 1552 MHz, 7301 MHz
2026/04/28 20:00:27.617, 142.17 W, 89, 1627 MHz, 7301 MHz
2026/04/28 20:00:28.618, 145.61 W, 90, 1575 MHz, 7301 MHz
2026/04/28 20:00:29.619, 143.00 W, 90, 1672 MHz, 7301 MHz
2026/04/28 20:00:30.620, 143.58 W, 90, 1822 MHz, 7301 MHz
2026/04/28 20:00:31.622, 142.62 W, 87, 1672 MHz, 7301 MHz
2026/04/28 20:00:32.623, 136.92 W, 88, 1687 MHz, 7301 MHz
2026/04/28 20:00:33.624, 141.27 W, 87, 1665 MHz, 7301 MHz
2026/04/28 20:00:34.625, 141.39 W, 88, 1717 MHz, 7301 MHz
2026/04/28 20:00:35.625, 136.80 W, 88, 1657 MHz, 7301 MHz
